	Mpolymorpha_320_v3.1.protein.primary	Niben101_annotation.proteins
OG0005433	Mapoly0003s0277.1.p	Niben101Scf09928g01001.1
OG0005434	Mapoly0003s0044.1.p	Niben101Scf03548g01011.1
OG0005435	Mapoly0003s0017.1.p	Niben101Scf03932g04007.1
OG0005436	Mapoly0003s0282.1.p	Niben101Scf13280g00006.1
OG0005437	Mapoly0003s0297.1.p	Niben101Scf01764g02003.1
OG0005438	Mapoly0003s0303.1.p	Niben101Scf00490g01043.1
OG0005439	Mapoly0003s0161.1.p	Niben101Scf03224g05003.1
OG0005440	Mapoly0003s0138.1.p	Niben101Scf04989g02003.1
OG0005441	Mapoly0003s0041.1.p	Niben101Scf06318g02008.1
OG0005442	Mapoly0003s0129.1.p	Niben101Scf06976g05003.1
OG0005443	Mapoly0003s0078.1.p	Niben101Scf06349g00011.1
OG0005444	Mapoly0003s0196.1.p	Niben101Scf12160g00012.1
OG0005445	Mapoly0003s0306.1.p	Niben101Scf03963g02006.1
OG0005446	Mapoly0003s0033.1.p	Niben101Scf03755g02007.1
OG0005447	Mapoly0003s0227.1.p	Niben101Scf02291g04021.1
OG0005448	Mapoly0003s0022.1.p	Niben101Scf05060g07007.1
OG0005449	Mapoly0003s0256.1.p	Niben101Scf00825g03003.1
OG0005450	Mapoly0003s0076.1.p	Niben101Scf10015g10015.1
OG0005451	Mapoly0003s0222.1.p	Niben101Scf03304g01025.1
OG0005452	Mapoly0156s0023.1.p	Niben101Scf03278g02004.1
OG0005453	Mapoly0156s0011.1.p	Niben101Scf01022g02004.1
OG0005454	Mapoly0156s0024.1.p	Niben101Scf08972g00005.1
OG0005455	Mapoly0156s0015.1.p	Niben101Scf06180g00016.1
OG0005456	Mapoly0156s0017.1.p	Niben101Scf07296g00001.1
OG0005457	Mapoly0119s0026.1.p	Niben101Scf03964g04005.1
OG0005458	Mapoly0119s0027.1.p	Niben101Scf02201g00010.1
OG0005459	Mapoly0119s0057.1.p	Niben101Scf10298g02005.1
OG0005460	Mapoly0119s0044.1.p	Niben101Scf01062g08013.1
OG0005461	Mapoly0192s0009.1.p	Niben101Scf18107g00005.1
OG0005462	Mapoly0158s0005.1.p	Niben101Scf03939g05009.1
OG0005463	Mapoly0158s0004.1.p	Niben101Scf00503g04003.1
OG0005464	Mapoly0158s0020.1.p	Niben101Scf11468g00007.1
OG0005465	Mapoly0158s0008.1.p	Niben101Scf09005g01008.1
OG0005466	Mapoly0055s0093.1.p	Niben101Scf00988g02020.1
OG0005467	Mapoly0055s0066.1.p	Niben101Scf08635g03001.1
OG0005468	Mapoly0055s0071.1.p	Niben101Scf09242g00008.1
OG0005469	Mapoly0055s0057.1.p	Niben101Scf08564g03007.1
OG0005470	Mapoly0055s0025.1.p	Niben101Scf08523g00022.1
OG0005471	Mapoly0055s0115.1.p	Niben101Scf03133g00003.1
OG0005472	Mapoly0055s0047.1.p	Niben101Scf02440g00006.1
OG0005473	Mapoly0055s0097.1.p	Niben101Scf00621g11011.1
OG0005474	Mapoly0055s0094.1.p	Niben101Scf11774g01004.1
OG0005475	Mapoly0055s0058.1.p	Niben101Scf08341g01001.1
OG0005476	Mapoly0055s0119.1.p	Niben101Scf00046g01017.1
OG0005477	Mapoly0055s0055.1.p	Niben101Scf06113g03003.1
OG0005478	Mapoly0055s0016.1.p	Niben101Scf02803g04007.1
OG0005479	Mapoly0055s0049.1.p	Niben101Scf14955g00012.1
OG0005480	Mapoly0055s0105.1.p	Niben101Scf07650g02017.1
OG0005481	Mapoly0078s0002.1.p	Niben101Scf08309g01008.1
OG0005482	Mapoly0078s0040.1.p	Niben101Scf00058g00001.1
OG0005483	Mapoly0078s0009.1.p	Niben101Scf11724g01006.1
OG0005484	Mapoly0078s0039.1.p	Niben101Scf02869g18012.1
OG0005485	Mapoly0078s0032.1.p	Niben101Scf02816g07009.1
OG0005486	Mapoly0078s0047.1.p	Niben101Scf17164g00027.1
OG0005487	Mapoly0078s0038.1.p	Niben101Scf03817g16010.1
OG0005488	Mapoly0078s0008.1.p	Niben101Scf12676g00006.1
OG0005489	Mapoly0130s0025.1.p	Niben101Scf01151g00003.1
OG0005490	Mapoly0130s0037.1.p	Niben101Scf03221g01002.1
OG0005491	Mapoly0130s0010.1.p	Niben101Scf01517g08010.1
OG0005492	Mapoly0130s0022.1.p	Niben101Scf06734g01028.1
OG0005493	Mapoly0130s0046.1.p	Niben101Scf25633g00014.1
OG0005494	Mapoly0130s0031.1.p	Niben101Scf00332g12009.1
OG0005495	Mapoly0022s0160.1.p	Niben101Scf01822g16001.1
OG0005496	Mapoly0022s0147.1.p	Niben101Scf06782g01011.1
OG0005497	Mapoly0022s0120.1.p	Niben101Scf04117g10023.1
OG0005498	Mapoly0022s0014.1.p	Niben101Scf01203g01009.1
OG0005499	Mapoly0022s0091.1.p	Niben101Scf05955g02022.1
OG0005500	Mapoly0022s0038.1.p	Niben101Scf02513g07008.1
OG0005501	Mapoly0022s0036.1.p	Niben101Scf02581g01001.1
OG0005502	Mapoly0022s0099.1.p	Niben101Scf11037g02027.1
OG0005503	Mapoly0022s0045.1.p	Niben101Scf09552g01014.1
OG0005504	Mapoly0022s0089.1.p	Niben101Scf00262g03010.1
OG0005505	Mapoly0022s0125.1.p	Niben101Scf02030g02010.1
OG0005506	Mapoly0022s0165.1.p	Niben101Scf02909g02012.1
OG0005507	Mapoly0022s0090.1.p	Niben101Scf05912g02030.1
OG0005508	Mapoly0022s0008.1.p	Niben101Scf05566g05006.1
OG0005509	Mapoly0022s0104.1.p	Niben101Scf04071g03006.1
OG0005510	Mapoly0022s0057.1.p	Niben101Scf07459g00016.1
OG0005511	Mapoly0022s0132.1.p	Niben101Scf01653g02013.1
OG0005512	Mapoly0022s0086.1.p	Niben101Scf13874g01006.1
OG0005513	Mapoly0022s0037.1.p	Niben101Scf08002g01013.1
OG0005514	Mapoly0019s0178.1.p	Niben101Scf00735g04001.1
OG0005515	Mapoly0019s0102.1.p	Niben101Scf19230g01014.1
OG0005516	Mapoly0019s0022.1.p	Niben101Scf03597g00013.1
OG0005517	Mapoly0019s0152.1.p	Niben101Scf09442g00009.1
OG0005518	Mapoly0019s0155.1.p	Niben101Scf05559g02012.1
OG0005519	Mapoly0019s0035.1.p	Niben101Scf00472g02009.1
OG0005520	Mapoly0019s0017.1.p	Niben101Scf01025g13015.1
OG0005521	Mapoly0019s0065.1.p	Niben101Scf04110g00002.1
OG0005522	Mapoly0019s0129.1.p	Niben101Scf03711g00002.1
OG0005523	Mapoly0019s0073.1.p	Niben101Scf01126g01005.1
OG0005524	Mapoly0019s0107.1.p	Niben101Scf00472g06014.1
OG0005525	Mapoly0019s0089.1.p	Niben101Scf00563g03001.1
OG0005526	Mapoly0019s0103.1.p	Niben101Scf00595g06006.1
OG0005527	Mapoly0019s0106.1.p	Niben101Scf04452g00005.1
OG0005528	Mapoly0019s0068.1.p	Niben101Scf02111g00007.1
OG0005529	Mapoly0019s0132.1.p	Niben101Scf03923g01010.1
OG0005530	Mapoly0019s0116.1.p	Niben101Scf02252g01033.1
OG0005531	Mapoly0019s0008.1.p	Niben101Scf03492g01004.1
OG0005532	Mapoly0019s0005.1.p	Niben101Scf04193g06007.1
OG0005533	Mapoly0019s0033.1.p	Niben101Scf01763g00001.1
OG0005534	Mapoly0019s0183.1.p	Niben101Scf05997g00008.1
OG0005535	Mapoly0019s0063.1.p	Niben101Scf12017g05019.1
OG0005536	Mapoly0019s0087.1.p	Niben101Scf07736g00003.1
OG0005537	Mapoly0019s0092.1.p	Niben101Scf02375g02003.1
OG0005538	Mapoly0019s0094.1.p	Niben101Scf07399g00027.1
OG0005539	Mapoly0019s0015.1.p	Niben101Scf02864g01014.1
OG0005540	Mapoly0019s0171.1.p	Niben101Scf08755g02002.1
OG0005541	Mapoly0019s0007.1.p	Niben101Scf02736g05005.1
OG0005542	Mapoly0048s0090.1.p	Niben101Scf05395g04016.1
OG0005543	Mapoly0048s0095.1.p	Niben101Scf00110g05008.1
OG0005544	Mapoly0048s0066.1.p	Niben101Scf15604g00022.1
OG0005545	Mapoly0048s0072.1.p	Niben101Scf11161g01014.1
OG0005546	Mapoly0048s0015.1.p	Niben101Scf05592g00001.1
OG0005547	Mapoly0048s0073.1.p	Niben101Scf10162g02021.1
OG0005548	Mapoly0048s0044.1.p	Niben101Scf16292g00004.1
OG0005549	Mapoly0048s0089.1.p	Niben101Scf00688g02007.1
OG0005550	Mapoly0048s0016.1.p	Niben101Scf01697g23018.1
OG0005551	Mapoly0048s0025.1.p	Niben101Scf02917g00004.1
OG0005552	Mapoly0048s0007.1.p	Niben101Scf01876g01023.1
OG0005553	Mapoly0048s0043.1.p	Niben101Scf10442g00013.1
OG0005554	Mapoly0048s0058.1.p	Niben101Scf04174g05007.1
OG0005555	Mapoly0048s0100.1.p	Niben101Scf05588g06007.1
OG0005556	Mapoly0048s0084.1.p	Niben101Scf03422g02008.1
OG0005557	Mapoly0048s0065.1.p	Niben101Scf00439g10054.1
OG0005558	Mapoly0048s0033.1.p	Niben101Scf04189g00002.1
OG0005559	Mapoly0032s0104.1.p	Niben101Scf09321g00009.1
OG0005560	Mapoly0032s0036.1.p	Niben101Scf02581g01003.1
OG0005561	Mapoly0032s0081.1.p	Niben101Scf01520g07009.1
OG0005562	Mapoly0032s0094.1.p	Niben101Scf03449g02006.1
OG0005563	Mapoly0032s0100.1.p	Niben101Scf03918g00029.1
OG0005564	Mapoly0032s0102.1.p	Niben101Scf00031g00001.1
OG0005565	Mapoly0032s0018.1.p	Niben101Scf03873g00015.1
OG0005566	Mapoly0032s0088.1.p	Niben101Scf02068g04004.1
OG0005567	Mapoly0032s0099.1.p	Niben101Scf02804g00014.1
OG0005568	Mapoly0032s0013.1.p	Niben101Scf04623g02006.1
OG0005569	Mapoly0032s0146.1.p	Niben101Scf13569g00001.1
OG0005570	Mapoly0032s0164.1.p	Niben101Scf28836g00001.1
OG0005571	Mapoly0032s0043.1.p	Niben101Scf01051g10025.1
OG0005572	Mapoly0032s0098.1.p	Niben101Scf07607g03002.1
OG0005573	Mapoly0032s0019.1.p	Niben101Scf02201g00015.1
OG0005574	Mapoly0032s0045.1.p	Niben101Scf08293g02001.1
OG0005575	Mapoly0032s0012.1.p	Niben101Scf01976g00021.1
OG0005576	Mapoly0032s0021.1.p	Niben101Scf01739g03002.1
OG0005577	Mapoly0057s0092.1.p	Niben101Scf14282g00009.1
OG0005578	Mapoly0057s0089.1.p	Niben101Scf18343g00013.1
OG0005579	Mapoly0057s0006.1.p	Niben101Scf05177g02025.1
OG0005580	Mapoly0057s0039.1.p	Niben101Scf01833g00003.1
OG0005581	Mapoly0057s0102.1.p	Niben101Scf02240g06015.1
OG0005582	Mapoly0057s0110.1.p	Niben101Scf13601g00043.1
OG0005583	Mapoly0057s0029.1.p	Niben101Scf06266g00002.1
OG0005584	Mapoly0057s0005.1.p	Niben101Scf09387g03016.1
OG0005585	Mapoly0057s0065.1.p	Niben101Scf15962g00018.1
OG0005586	Mapoly0057s0032.1.p	Niben101Scf10306g00029.1
OG0005587	Mapoly0057s0046.1.p	Niben101Scf05688g09017.1
OG0005588	Mapoly0057s0097.1.p	Niben101Scf01768g02028.1
OG0005589	Mapoly0057s0031.1.p	Niben101Scf09172g00010.1
OG0005590	Mapoly0057s0081.1.p	Niben101Scf09088g00001.1
OG0005591	Mapoly0206s0012.1.p	Niben101Scf01399g00012.1
OG0005592	Mapoly0206s0010.1.p	Niben101Scf03450g00016.1
OG0005593	Mapoly0206s0011.1.p	Niben101Scf05634g01008.1
OG0005594	Mapoly0197s0012.1.p	Niben101Scf07364g00017.1
OG0005595	Mapoly0162s0009.1.p	Niben101Scf18815g00005.1
OG0005596	Mapoly0162s0018.1.p	Niben101Scf03413g02027.1
OG0005597	Mapoly0088s0023.1.p	Niben101Scf08328g00011.1
OG0005598	Mapoly0088s0080.1.p	Niben101Scf09584g00038.1
OG0005599	Mapoly0088s0021.1.p	Niben101Scf01731g01008.1
OG0005600	Mapoly0088s0008.1.p	Niben101Scf01922g08015.1
OG0005601	Mapoly0088s0059.1.p	Niben101Scf01022g03017.1
OG0005602	Mapoly0088s0041.1.p	Niben101Scf05772g00005.1
OG0005603	Mapoly0088s0068.1.p	Niben101Scf08863g01013.1
OG0005604	Mapoly0088s0047.1.p	Niben101Scf02517g12009.1
OG0005605	Mapoly0088s0019.1.p	Niben101Scf07528g01008.1
OG0005606	Mapoly0088s0018.1.p	Niben101Scf00713g04002.1
OG0005607	Mapoly0088s0092.1.p	Niben101Scf05032g00009.1
OG0005608	Mapoly0148s0026.1.p	Niben101Scf05060g04009.1
OG0005609	Mapoly0148s0042.1.p	Niben101Scf03164g07006.1
OG0005610	Mapoly0148s0017.1.p	Niben101Scf03885g08008.1
OG0005611	Mapoly0148s0001.1.p	Niben101Scf04103g03014.1
OG0005612	Mapoly0148s0019.1.p	Niben101Scf01842g00004.1
OG0005613	Mapoly0148s0041.1.p	Niben101Scf01073g04021.1
OG0005614	Mapoly0148s0013.1.p	Niben101Scf01469g02007.1
OG0005615	Mapoly0148s0007.1.p	Niben101Scf02853g01012.1
OG0005616	Mapoly0657s0001.1.p	Niben101Scf01236g02016.1
OG0005617	Mapoly0079s0028.1.p	Niben101Scf06769g02003.1
OG0005618	Mapoly0079s0007.1.p	Niben101Scf04011g01012.1
OG0005619	Mapoly0079s0061.1.p	Niben101Scf01466g01006.1
OG0005620	Mapoly0079s0059.1.p	Niben101Scf08364g00011.1
OG0005621	Mapoly0079s0015.1.p	Niben101Scf10053g00024.1
OG0005622	Mapoly0079s0031.1.p	Niben101Scf15836g00013.1
OG0005623	Mapoly0079s0051.1.p	Niben101Scf05828g00014.1
OG0005624	Mapoly0079s0021.1.p	Niben101Scf10627g02003.1
OG0005625	Mapoly0079s0050.1.p	Niben101Scf11142g00012.1
OG0005626	Mapoly0079s0001.1.p	Niben101Scf01559g04004.1
OG0005627	Mapoly0079s0008.1.p	Niben101Scf02468g10004.1
OG0005628	Mapoly0079s0067.1.p	Niben101Scf12045g06022.1
OG0005629	Mapoly0079s0068.1.p	Niben101Scf02668g02004.1
OG0005630	Mapoly0079s0003.1.p	Niben101Scf02090g07012.1
OG0005631	Mapoly0013s0068.1.p	Niben101Scf34908g00006.1
OG0005632	Mapoly0013s0076.1.p	Niben101Scf00616g02010.1
OG0005633	Mapoly0013s0111.1.p	Niben101Scf06357g02001.1
OG0005634	Mapoly0013s0124.1.p	Niben101Scf03565g07015.1
OG0005635	Mapoly0013s0119.1.p	Niben101Scf05617g01004.1
OG0005636	Mapoly0013s0072.1.p	Niben101Scf10412g01012.1
OG0005637	Mapoly0013s0177.1.p	Niben101Scf01907g00002.1
OG0005638	Mapoly0013s0064.1.p	Niben101Scf08533g00005.1
OG0005639	Mapoly0013s0086.1.p	Niben101Scf02894g00005.1
OG0005640	Mapoly0013s0161.1.p	Niben101Scf05004g04026.1
OG0005641	Mapoly0013s0147.1.p	Niben101Scf01795g02010.1
OG0005642	Mapoly0013s0061.1.p	Niben101Scf02249g03015.1
OG0005643	Mapoly0013s0048.1.p	Niben101Scf06323g01002.1
OG0005644	Mapoly0013s0094.1.p	Niben101Scf05183g00002.1
OG0005645	Mapoly0013s0011.1.p	Niben101Scf08859g00009.1
OG0005646	Mapoly0013s0098.1.p	Niben101Scf11944g01001.1
OG0005647	Mapoly0013s0046.1.p	Niben101Scf06562g00009.1
OG0005648	Mapoly0013s0018.1.p	Niben101Ctg04093g00001.1
OG0005649	Mapoly0013s0085.1.p	Niben101Scf05688g12001.1
OG0005650	Mapoly0013s0140.1.p	Niben101Scf11491g00007.1
OG0005651	Mapoly0013s0175.1.p	Niben101Scf08672g04008.1
OG0005652	Mapoly0013s0060.1.p	Niben101Scf03376g05017.1
OG0005653	Mapoly0013s0040.1.p	Niben101Scf02772g05001.1
OG0005654	Mapoly0013s0176.1.p	Niben101Scf03634g00001.1
OG0005655	Mapoly0013s0056.1.p	Niben101Scf03670g02008.1
OG0005656	Mapoly0013s0063.1.p	Niben101Scf05173g04004.1
OG0005657	Mapoly0013s0023.1.p	Niben101Scf03196g00001.1
OG0005658	Mapoly0013s0108.1.p	Niben101Scf02253g11001.1
OG0005659	Mapoly0013s0110.1.p	Niben101Scf02790g05007.1
OG0005660	Mapoly0013s0041.1.p	Niben101Scf19872g00010.1
OG0005661	Mapoly0013s0178.1.p	Niben101Scf08544g01021.1
OG0005662	Mapoly0013s0010.1.p	Niben101Scf01438g09001.1
OG0005663	Mapoly0013s0012.1.p	Niben101Scf06236g00008.1
OG0005664	Mapoly0013s0174.1.p	Niben101Scf02909g05007.1
OG0005665	Mapoly0013s0196.1.p	Niben101Scf06032g00006.1
OG0005666	Mapoly0013s0165.1.p	Niben101Scf04703g06006.1
OG0005667	Mapoly0013s0107.1.p	Niben101Scf15153g02002.1
OG0005668	Mapoly0104s0032.1.p	Niben101Scf02862g01004.1
OG0005669	Mapoly0112s0059.1.p	Niben101Scf01587g02020.1
OG0005670	Mapoly0112s0027.1.p	Niben101Scf09590g00008.1
OG0005671	Mapoly0112s0013.1.p	Niben101Scf04901g00013.1
OG0005672	Mapoly0112s0009.1.p	Niben101Scf00497g02004.1
OG0005673	Mapoly0124s0034.1.p	Niben101Scf00745g00018.1
OG0005674	Mapoly0124s0017.1.p	Niben101Scf10305g01003.1
OG0005675	Mapoly0124s0040.1.p	Niben101Scf00801g02008.1
OG0005676	Mapoly0124s0046.1.p	Niben101Scf00497g06008.1
OG0005677	Mapoly0124s0011.1.p	Niben101Scf09803g00013.1
OG0005678	Mapoly0124s0018.1.p	Niben101Scf01789g04011.1
OG0005679	Mapoly0124s0020.1.p	Niben101Scf01119g06002.1
OG0005680	Mapoly0124s0052.1.p	Niben101Scf03284g07001.1
OG0005681	Mapoly0124s0049.1.p	Niben101Scf06462g01002.1
OG0005682	Mapoly0124s0026.1.p	Niben101Scf02043g07006.1
OG0005683	MapolyY_B0007.1.p	Niben101Scf04699g00014.1
OG0005684	Mapoly0044s0127.1.p	Niben101Scf08072g02002.1
OG0005685	Mapoly0044s0012.1.p	Niben101Scf02237g09007.1
OG0005686	Mapoly0044s0128.1.p	Niben101Scf02893g01003.1
OG0005687	Mapoly0044s0072.1.p	Niben101Scf00167g04017.1
OG0005688	Mapoly0044s0071.1.p	Niben101Scf02764g02010.1
OG0005689	Mapoly0044s0047.1.p	Niben101Scf04424g08001.1
OG0005690	Mapoly0044s0112.1.p	Niben101Scf12289g01029.1
OG0005691	Mapoly0044s0021.1.p	Niben101Scf02073g08015.1
OG0005692	Mapoly0044s0084.1.p	Niben101Scf06277g05019.1
OG0005693	Mapoly0044s0018.1.p	Niben101Scf02267g00016.1
OG0005694	Mapoly0044s0034.1.p	Niben101Scf05596g00009.1
OG0005695	Mapoly0044s0075.1.p	Niben101Scf04869g05006.1
OG0005696	Mapoly0056s0118.1.p	Niben101Scf02909g02010.1
OG0005697	Mapoly0056s0041.1.p	Niben101Scf07437g01001.1
OG0005698	Mapoly0056s0043.1.p	Niben101Scf02085g23015.1
OG0005699	Mapoly0056s0045.1.p	Niben101Scf02340g10001.1
OG0005700	Mapoly0056s0054.1.p	Niben101Scf03552g00004.1
OG0005701	Mapoly0056s0016.1.p	Niben101Scf00149g06015.1
OG0005702	Mapoly0056s0134.1.p	Niben101Scf01243g03015.1
OG0005703	Mapoly0056s0103.1.p	Niben101Scf20614g00017.1
OG0005704	Mapoly0056s0097.1.p	Niben101Scf08724g02009.1
OG0005705	Mapoly0056s0087.1.p	Niben101Scf01423g04007.1
OG0005706	Mapoly0056s0101.1.p	Niben101Scf05824g15002.1
OG0005707	Mapoly0056s0063.1.p	Niben101Scf18771g00012.1
OG0005708	Mapoly0056s0031.1.p	Niben101Scf01469g01006.1
OG0005709	Mapoly0056s0050.1.p	Niben101Scf14344g00005.1
OG0005710	Mapoly0056s0133.1.p	Niben101Scf02057g01015.1
OG0005711	Mapoly0056s0036.1.p	Niben101Scf02358g02011.1
OG0005712	Mapoly0056s0052.1.p	Niben101Scf03455g02014.1
OG0005713	Mapoly0056s0069.1.p	Niben101Scf00212g02003.1
OG0005714	Mapoly0056s0005.1.p	Niben101Scf03202g04019.1
OG0005715	Mapoly0056s0074.1.p	Niben101Scf12160g01023.1
OG0005716	Mapoly0056s0137.1.p	Niben101Scf07516g04019.1
OG0005717	Mapoly0056s0142.1.p	Niben101Scf08127g08009.1
OG0005718	Mapoly0103s0018.1.p	Niben101Scf04040g07020.1
OG0005719	Mapoly0103s0067.1.p	Niben101Scf09513g00030.1
OG0005720	Mapoly0103s0007.1.p	Niben101Scf08653g00001.1
OG0005721	Mapoly0103s0027.1.p	Niben101Scf03971g02002.1
OG0005722	Mapoly0103s0034.1.p	Niben101Scf01634g01005.1
OG0005723	Mapoly0103s0006.1.p	Niben101Scf01049g02006.1
OG0005724	Mapoly0103s0078.1.p	Niben101Scf00779g00005.1
OG0005725	Mapoly0103s0076.1.p	Niben101Scf01980g12016.1
OG0005726	Mapoly0103s0031.1.p	Niben101Scf02520g00006.1
OG0005727	Mapoly0103s0045.1.p	Niben101Scf00538g05001.1
OG0005728	Mapoly0103s0024.1.p	Niben101Scf01496g00001.1
OG0005729	Mapoly0103s0061.1.p	Niben101Scf00961g00001.1
OG0005730	Mapoly0103s0047.1.p	Niben101Scf01701g12001.1
OG0005731	Mapoly0184s0010.1.p	Niben101Scf01842g01006.1
OG0005732	Mapoly0184s0005.1.p	Niben101Scf02406g04044.1
OG0005733	Mapoly0184s0020.1.p	Niben101Scf05158g01021.1
OG0005734	Mapoly0184s0007.1.p	Niben101Scf06906g01013.1
OG0005735	Mapoly0064s0097.1.p	Niben101Scf08391g03010.1
OG0005736	Mapoly0064s0046.1.p	Niben101Scf09315g01001.1
OG0005737	Mapoly0064s0101.1.p	Niben101Scf09708g10002.1
OG0005738	Mapoly0064s0066.1.p	Niben101Scf05399g00005.1
OG0005739	Mapoly0064s0033.1.p	Niben101Scf08250g03012.1
OG0005740	Mapoly0064s0090.1.p	Niben101Scf11557g03009.1
OG0005741	Mapoly0064s0014.1.p	Niben101Scf15435g00011.1
OG0005742	Mapoly0064s0088.1.p	Niben101Scf09878g01002.1
OG0005743	Mapoly0064s0044.1.p	Niben101Ctg16382g00001.1
OG0005744	Mapoly0064s0055.1.p	Niben101Scf07727g01004.1
OG0005745	Mapoly0064s0043.1.p	Niben101Scf04083g04003.1
OG0005746	Mapoly0039s0083.1.p	Niben101Scf02568g00011.1
OG0005747	Mapoly0039s0108.1.p	Niben101Scf02122g01007.1
OG0005748	Mapoly0039s0061.1.p	Niben101Scf11361g02026.1
OG0005749	Mapoly0039s0076.1.p	Niben101Scf01494g04009.1
OG0005750	Mapoly0039s0054.1.p	Niben101Scf07162g04014.1
OG0005751	Mapoly0039s0055.1.p	Niben101Scf14118g00010.1
OG0005752	Mapoly0039s0116.1.p	Niben101Scf00571g10002.1
OG0005753	Mapoly0039s0120.1.p	Niben101Scf08128g00016.1
OG0005754	Mapoly0039s0093.1.p	Niben101Scf02627g00018.1
OG0005755	Mapoly0039s0091.1.p	Niben101Scf01749g01017.1
OG0005756	Mapoly0039s0084.1.p	Niben101Scf01124g22007.1
OG0005757	Mapoly0039s0062.1.p	Niben101Scf04506g02002.1
OG0005758	Mapoly0191s0003.1.p	Niben101Scf07825g02009.1
OG0005759	Mapoly0191s0002.1.p	Niben101Scf01326g05008.1
OG0005760	Mapoly0142s0006.1.p	Niben101Scf06205g02014.1
OG0005761	Mapoly0142s0009.1.p	Niben101Scf14164g00009.1
OG0005762	Mapoly0142s0030.1.p	Niben101Scf11980g03012.1
OG0005763	Mapoly0047s0119.1.p	Niben101Scf00953g08007.1
OG0005764	Mapoly0047s0044.1.p	Niben101Scf08419g01038.1
OG0005765	Mapoly0047s0135.1.p	Niben101Scf01895g00016.1
OG0005766	Mapoly0047s0043.1.p	Niben101Scf06950g00004.1
OG0005767	Mapoly0047s0091.1.p	Niben101Scf17947g00004.1
OG0005768	Mapoly0047s0028.1.p	Niben101Scf01671g02002.1
OG0005769	Mapoly0047s0084.1.p	Niben101Scf06613g00002.1
OG0005770	Mapoly0047s0046.1.p	Niben101Scf00332g12003.1
OG0005771	Mapoly0047s0031.1.p	Niben101Scf00378g01009.1
OG0005772	Mapoly0047s0069.1.p	Niben101Scf03550g00017.1
OG0005773	Mapoly0047s0124.1.p	Niben101Scf13005g02006.1
OG0005774	Mapoly0047s0092.1.p	Niben101Scf05360g00006.1
OG0005775	Mapoly0047s0030.1.p	Niben101Scf10316g02004.1
OG0005776	Mapoly0047s0027.1.p	Niben101Scf04688g01016.1
OG0005777	Mapoly0047s0115.1.p	Niben101Scf12089g00012.1
OG0005778	Mapoly0047s0047.1.p	Niben101Scf02073g08013.1
OG0005779	Mapoly0131s0027.1.p	Niben101Scf00726g02001.1
OG0005780	Mapoly0131s0026.1.p	Niben101Scf05175g03010.1
OG0005781	Mapoly0131s0005.1.p	Niben101Scf10722g00011.1
OG0005782	Mapoly0131s0029.1.p	Niben101Scf02174g01018.1
OG0005783	Mapoly0023s0070.1.p	Niben101Scf13185g02003.1
OG0005784	Mapoly0023s0178.1.p	Niben101Scf10575g01004.1
OG0005785	Mapoly0023s0048.1.p	Niben101Scf00271g09023.1
OG0005786	Mapoly0023s0137.1.p	Niben101Scf11178g00001.1
OG0005787	Mapoly0023s0027.1.p	Niben101Scf12966g00016.1
OG0005788	Mapoly0023s0016.1.p	Niben101Scf01520g08010.1
OG0005789	Mapoly0023s0022.1.p	Niben101Scf02626g07012.1
OG0005790	Mapoly0023s0121.1.p	Niben101Scf01606g02018.1
OG0005791	Mapoly0023s0132.1.p	Niben101Scf02108g02017.1
OG0005792	Mapoly0023s0079.1.p	Niben101Scf08443g01007.1
OG0005793	Mapoly0023s0046.1.p	Niben101Scf01521g02015.1
OG0005794	Mapoly0023s0108.1.p	Niben101Scf07429g00006.1
OG0005795	Mapoly0023s0169.1.p	Niben101Scf01578g01006.1
OG0005796	Mapoly0023s0152.1.p	Niben101Scf07203g00006.1
OG0005797	Mapoly0023s0171.1.p	Niben101Scf02699g00014.1
OG0005798	Mapoly0023s0119.1.p	Niben101Scf03671g00015.1
OG0005799	Mapoly0023s0047.1.p	Niben101Scf17815g00007.1
OG0005800	Mapoly0023s0136.1.p	Niben101Scf09785g00011.1
OG0005801	Mapoly0023s0125.1.p	Niben101Scf07512g00016.1
OG0005802	Mapoly0023s0091.1.p	Niben101Scf01936g04003.1
OG0005803	Mapoly0023s0071.1.p	Niben101Scf07763g01012.1
OG0005804	Mapoly0023s0117.1.p	Niben101Scf05222g06009.1
OG0005805	Mapoly0023s0029.1.p	Niben101Scf02613g02022.1
OG0005806	Mapoly0023s0133.1.p	Niben101Scf08179g02012.1
OG0005807	Mapoly0023s0044.1.p	Niben101Scf00597g03006.1
OG0005808	Mapoly0023s0059.1.p	Niben101Scf25893g00007.1
OG0005809	Mapoly0023s0017.1.p	Niben101Scf06028g00007.1
OG0005810	Mapoly0023s0010.1.p	Niben101Scf02688g01025.1
OG0005811	Mapoly0023s0025.1.p	Niben101Scf05932g03011.1
OG0005812	Mapoly0023s0068.1.p	Niben101Scf01061g03009.1
OG0005813	Mapoly0023s0045.1.p	Niben101Scf06674g00004.1
OG0005814	Mapoly0023s0072.1.p	Niben101Scf08368g01010.1
OG0005815	Mapoly0090s0058.1.p	Niben101Scf00558g00006.1
OG0005816	Mapoly0090s0038.1.p	Niben101Scf04398g03005.1
OG0005817	Mapoly0090s0010.1.p	Niben101Scf01673g01007.1
OG0005818	Mapoly0090s0027.1.p	Niben101Scf02451g10018.1
OG0005819	Mapoly0090s0072.1.p	Niben101Scf05071g00011.1
